1,"东原D7一期","3室2厅","100平米","http://cq.lianjia.com/chengjiao/CQJB92287901.html","西南","中楼层(共43层)","2011塔楼","2016-08-31 00:00:00","9513","95"
2,"龙湖春森彼岸","4室2厅","156平米","http://cq.lianjia.com/chengjiao/CQJB92473810.html","南","低楼层(共34层)","2008塔楼","2016-08-31 00:00:00","8648","135"
3,"江岸丽都","4室3厅","69平米","http://cq.lianjia.com/chengjiao/CQJJ90467275.html","南","高楼层(共7层)","2006板塔结合","2016-08-31 00:00:00","5319","36.8"
4,"招商江湾城","4室2厅","166平米","http://cq.lianjia.com/chengjiao/CQJB91777848.html","东南","中楼层(共27层)","2010板楼","2016-08-31 00:00:00","9333","155"
5,"回龙湾","2室2厅","98平米","http://cq.lianjia.com/chengjiao/CQNA91046312.html","南 北","低楼层(共12层)","2003塔楼","2016-08-31 00:00:00","6910","67.6"
6,"棕榈泉四期","3室2厅","181平米","http://cq.lianjia.com/chengjiao/CQYB90575596.html","西北","中楼层(共33层)","2013板楼","2016-08-31 00:00:00","9701","176"
7,"金沙港湾","4室2厅","144平米","http://cq.lianjia.com/chengjiao/CQSP91620909.html","南","中楼层(共11层)","2003板塔结合","2016-08-31 00:00:00","6467","93"
8,"儿科家属院内","2室1厅","79平米","http://cq.lianjia.com/chengjiao/CQYZ91903306.html","南","低楼层(共25层)","2000板塔结合","2016-08-31 00:00:00","5994","47.5"
9,"金江港湾","2室2厅","79平米","http://cq.lianjia.com/chengjiao/CQJJ91104054.html","东 南","中楼层(共25层)","2014塔楼","2016-08-31 00:00:00","4562","36.1"
10,"海棠晓月A区","2室2厅","95平米","http://cq.lianjia.com/chengjiao/CQNA90408266.html","南","高楼层(共29层)","2005塔楼","2016-08-31 00:00:00","6402","60.5"
11,"丰业御景铭洲","3室1厅","39平米","http://cq.lianjia.com/chengjiao/CQJB91709144.html","西南","中楼层(共16层)","2008塔楼","2016-08-31 00:00:00","11541","45"
12,"金科廊桥水乡E区","2室2厅","71平米","http://cq.lianjia.com/chengjiao/CQSP91863203.html","南","低楼层(共18层)","2011板楼","2016-08-31 00:00:00","3607","25.5"
13,"复地上城","2室2厅","115平米","http://cq.lianjia.com/chengjiao/CQYB92285134.html","东南","中楼层(共32层)","2012塔楼","2016-08-31 00:00:00","11845","136"
14,"康德国会山","2室2厅","85平米","http://cq.lianjia.com/chengjiao/CQNA92249141.html","西","高楼层(共32层)","2008塔楼","2016-08-31 00:00:00","8651","73.5"
